STATION,NAME,YEAR,MONTH,DAY,TMAX,TMIN,TOT_DAY
USW00023062,"DENVER STAPLETON, CO US",1948,'1',1,43,-5,1
USW00023062,"DENVER STAPLETON, CO US",1948,'1',2,47,19,2
USW00023062,"DENVER STAPLETON, CO US",1948,'1',3,56,26,3
USW00023062,"DENVER STAPLETON, CO US",1948,'1',4,57,23,4
USW00023062,"DENVER STAPLETON, CO US",1948,'1',5,53,28,5
USW00023062,"DENVER STAPLETON, CO US",1948,'1',6,56,26,6
USW00023062,"DENVER STAPLETON, CO US",1948,'1',7,60,34,7
USW00023062,"DENVER STAPLETON, CO US",1948,'1',8,61,29,8
USW00023062,"DENVER STAPLETON, CO US",1948,'1',9,45,28,9
USW00023062,"DENVER STAPLETON, CO US",1948,'1',10,60,22,10
USW00023062,"DENVER STAPLETON, CO US",1948,'1',11,56,23,11
USW00023062,"DENVER STAPLETON, CO US",1948,'1',12,30,7,12
USW00023062,"DENVER STAPLETON, CO US",1948,'1',13,34,4,13
USW00023062,"DENVER STAPLETON, CO US",1948,'1',14,56,15,14
USW00023062,"DENVER STAPLETON, CO US",1948,'1',15,44,18,15
USW00023062,"DENVER STAPLETON, CO US",1948,'1',16,22,1,16
USW00023062,"DENVER STAPLETON, CO US",1948,'1',17,31,-1,17
USW00023062,"DENVER STAPLETON, CO US",1948,'1',18,24,-3,18
USW00023062,"DENVER STAPLETON, CO US",1948,'1',19,41,-7,19
USW00023062,"DENVER STAPLETON, CO US",1948,'1',20,41,12,20
USW00023062,"DENVER STAPLETON, CO US",1948,'1',21,50,31,21
USW00023062,"DENVER STAPLETON, CO US",1948,'1',22,47,24,22
USW00023062,"DENVER STAPLETON, CO US",1948,'1',23,37,19,23
USW00023062,"DENVER STAPLETON, CO US",1948,'1',24,29,18,24
USW00023062,"DENVER STAPLETON, CO US",1948,'1',25,20,9,25
USW00023062,"DENVER STAPLETON, CO US",1948,'1',26,10,-2,26
USW00023062,"DENVER STAPLETON, CO US",1948,'1',27,6,-20,27
USW00023062,"DENVER STAPLETON, CO US",1948,'1',28,32,-16,28
USW00023062,"DENVER STAPLETON, CO US",1948,'1',29,37,5,29
USW00023062,"DENVER STAPLETON, CO US",1948,'1',30,38,7,30
USW00023062,"DENVER STAPLETON, CO US",1948,'1',31,30,6,31
USW00023062,"DENVER STAPLETON, CO US",1948,2,1,33,2,32
USW00023062,"DENVER STAPLETON, CO US",1948,2,2,26,6,33
USW00023062,"DENVER STAPLETON, CO US",1948,2,3,31,10,34
USW00023062,"DENVER STAPLETON, CO US",1948,2,4,34,7,35
USW00023062,"DENVER STAPLETON, CO US",1948,2,5,25,2,36
USW00023062,"DENVER STAPLETON, CO US",1948,2,6,43,0,37
USW00023062,"DENVER STAPLETON, CO US",1948,2,7,22,4,38
USW00023062,"DENVER STAPLETON, CO US",1948,2,8,39,1,39
USW00023062,"DENVER STAPLETON, CO US",1948,2,9,41,14,40
USW00023062,"DENVER STAPLETON, CO US",1948,2,10,15,-7,41
USW00023062,"DENVER STAPLETON, CO US",1948,2,11,6,-8,42
USW00023062,"DENVER STAPLETON, CO US",1948,2,12,20,-7,43
USW00023062,"DENVER STAPLETON, CO US",1948,2,13,42,-3,44
USW00023062,"DENVER STAPLETON, CO US",1948,2,14,46,14,45
USW00023062,"DENVER STAPLETON, CO US",1948,2,15,54,20,46
USW00023062,"DENVER STAPLETON, CO US",1948,2,16,55,27,47
USW00023062,"DENVER STAPLETON, CO US",1948,2,17,56,30,48
USW00023062,"DENVER STAPLETON, CO US",1948,2,18,62,38,49
USW00023062,"DENVER STAPLETON, CO US",1948,2,19,46,27,50
USW00023062,"DENVER STAPLETON, CO US",1948,2,20,40,19,51
USW00023062,"DENVER STAPLETON, CO US",1948,2,21,34,18,52
USW00023062,"DENVER STAPLETON, CO US",1948,2,22,60,28,53
USW00023062,"DENVER STAPLETON, CO US",1948,2,23,45,21,54
USW00023062,"DENVER STAPLETON, CO US",1948,2,24,32,18,55
USW00023062,"DENVER STAPLETON, CO US",1948,2,25,46,21,56
USW00023062,"DENVER STAPLETON, CO US",1948,2,26,64,27,57
USW00023062,"DENVER STAPLETON, CO US",1948,2,27,51,27,58
USW00023062,"DENVER STAPLETON, CO US",1948,2,28,37,23,59
USW00023062,"DENVER STAPLETON, CO US",1948,2,29,34,24,60
USW00023062,"DENVER STAPLETON, CO US",1948,3,1,28,4,61
USW00023062,"DENVER STAPLETON, CO US",1948,3,2,35,0,62
USW00023062,"DENVER STAPLETON, CO US",1948,3,3,26,13,63
USW00023062,"DENVER STAPLETON, CO US",1948,3,4,16,-5,64
USW00023062,"DENVER STAPLETON, CO US",1948,3,5,18,-10,65
USW00023062,"DENVER STAPLETON, CO US",1948,3,6,28,3,66
USW00023062,"DENVER STAPLETON, CO US",1948,3,7,34,4,67
USW00023062,"DENVER STAPLETON, CO US",1948,3,8,39,12,68
USW00023062,"DENVER STAPLETON, CO US",1948,3,9,25,1,69
